feature,mean|SHAP val|,fold
HR,0.002341358046735526,0
A/G Ratio,0.0,0
ALT/SGPT,0.05936060304993018,0
AST/SGOT,0.0196682924107123,0
Albumin Quant,0.0,0
"Albumin, Serum",0.0,0
"Alk Phos, Serum",0.0011285912018537824,0
"Amylase, Serum",0.0,0
Anion Gap,0.0,0
BMI,0.0032982957502219455,0
BNP-B Type Natriuretic Peptide,0.0,0
BUN/Creat Ratio,0.0,0
Base Excess,0.0,0
Base Excess Calc,0.0,0
"Base Excess Calc, Arterial",0.0,0
Baso %,0.0,0
Baso Abs,0.0,0
Baso Abs Cnt Bld,0.0,0
"Bilirubin Direct, Serum",0.0,0
Bilirubin Serum Quant,0.0,0
Bilirubin Total Bld mCnc,0.003782707687000652,0
Blood Urea Nitrogen,0.0,0
Body Surface Area,0.011582796631831354,0
Braden Scale,0.005569242488051637,0
"CK/CPK, Total, Serum",0.0,0
CKMB,0.0,0
CO2,0.0,0
"CO2 Total, Arterial",0.0,0
"CO2 Total, Serum",0.011643605643328107,0
Calcium Ionized,0.0,0
Calcium Quant,0.03507741507038496,0
"Calcium, Serum",0.01246242261268841,0
Chol HDL,0.0,0
"Chol Total, Serum",0.0,0
"Cl, Serum",0.014931689078998583,0
"Creatinine, Serum Quant",0.0040628815570132055,0
DBP,0.005812953661348545,0
Diff Bands,0.0,0
"Diff Bands, Abs",0.0,0
Diff Blast,0.0,0
Diff Nucleated RBC,0.0018323190272586155,0
"Diff, Eosinophil %",0.0,0
"Diff, Eosinophil Abs Quant Bld",0.0,0
"Diff, Eosinophil Count %",0.0,0
"Diff, Eosinophil Count, Abs",0.012318336438916316,0
"Diff, Granulocyte %",0.0,0
ETCO2,0.0,0
FLACC Pain Scale,0.0,0
FiO2,0.0,0
GFR/BSA Pred Black SerPl MDRD ArVRat,0.0,0
GFR/BSA Pred non black SerPl MDRD ArVRat,0.0,0
Glasgow Coma Score,0.024629279184597144,0
"Globulin, Serum",0.02223548155758886,0
Glomerular Filtration Rate,0.0,0
"Glomerular Filtration Rate, Est",0.0,0
Glucose Stick/Meter WBlood POC,0.0,0
Glucose WBlood Quant,0.0,0
"Glucose, Serum Quant",0.018238209079736223,0
HCO3,0.0,0
"HCO3, Arterial",0.0,0
HR.1,0.0,0
HR Apical,0.006078304818798838,0
HR Monitored,0.0,0
Hct,0.0,0
Height,0.026244219621023062,0
Hgb,0.0,0
Hgb A1C,0.014320084440986685,0
INR Platelet Poor Plasma,0.0,0
"Imm Granulocytes Cnt Bld Auto, %",0.0,0
"Imm Granulocytes Cnt Bld Auto, Abs",0.0,0
International Normalized Ratio,0.0,0
"Iron, Serum",0.0,0
Lactic Acid Blood,0.0,0
Lactic Dehydrogenase,0.0,0
"Lipase, Serum",0.0,0
Lymph %,0.0,0
Lymph Abs Cnt,0.005017125898561248,0
"Lymphocytes Cnt Bld Auto,%",0.0,0
"Lymphocytes Cnt Bld Auto,Abs",0.0,0
Lymphocytes NFr Bld Auto,0.0,0
MAP,0.004342405731070832,0
MCH Concentration,0.0,0
Magnesium,0.0,0
"Magnesium, Serum/Plasma",0.0,0
Mean Corpuscular Hemoglobin,0.0,0
Mean Corpuscular Volume,0.0,0
Mean Platelet Volume,0.0,0
Mono %,0.0,0
Mono Abs Cnt Bld,0.0,0
Neutrophil %,0.0,0
Neutrophil Abs Bld Cnt,0.0,0
Neutrophil Seg,0.0,0
"Nucleated RBC Ratio, Blood Auto",0.0,0
PCO2,0.0,0
"PCO2, Arterial",0.0,0
PO2,0.0,0
"PO2, Arterial",0.0,0
PT,0.004941679785351009,0
PT Time PPP,0.0,0
PTT,0.0,0
PTT/APTT PPP,0.0,0
PaO2,0.0,0
Pain Score,0.004842298023039716,0
Peak inspiratory pressure,0.0,0
Peep,0.0,0
"Phosphorus, Serum",0.0,0
Platelet Count,0.013559512781349686,0
"Potassium, Serum",0.0,0
"Protein Total, Serum",0.0,0
Pulse,0.03457611548254689,0
Pulse Oximetry,0.0,0
Pulse Peripheral,0.0,0
QRS Duration,0.0,0
QT Interval,0.0,0
RBC,0.0,0
Red Blood Cell Distribution Width,0.0,0
Resp Rt,0.08838526681457153,0
Resp Rt Tot,0.0,0
SBP,0.027706646299256683,0
SO2,0.0,0
SPO2,0.0,0
SaO2,0.0,0
"SaO2 %, Arterial",0.0,0
"Sodium, Serum",0.0,0
Specific Gravity Urine,0.0,0
TCO2,0.0,0
Temp,0.008382981599865636,0
Temp Axillary,0.0,0
Temp Oral,0.0,0
Temp Temporal Artery,0.0,0
Temp Tympanic,0.01936304344130067,0
Thyroid Stimulating Hormone,0.0,0
Tidal Volume,0.0,0
"Triglyceride, Serum",0.0,0
Troponin I,0.0,0
Troponin T S/Pl,0.0,0
UA Red Blood Cell,0.0,0
UA Urobilinogen,0.0,0
UA WBC,0.0,0
"Vitamin B12, Serum",0.0,0
WBC,0.0,0
Weight,0.01600194904651815,0
"pH, Arterial",0.0,0
"pH, Urine",0.0,0
genderandMale,0.00473135815889668,0
raceandAfrican American,0.0,0
admission_typeandEmergency,0.025919469011280845,0
admission_sourceandEmergency Room,0.0,0
care_settingandCare Setting Undefined,0.00393041788846608,0
age_grpand70~80,0.0,0
raceandCaucasian,0.003949078864583528,0
admission_typeandUrgent,0.0,0
admission_sourceandPhysician Referral,0.0,0
care_settingandNeurology,0.0,0
age_grpand40~50,0.0,0
genderandFemale,0.08598416965927728,0
admission_sourceandTransfer from a Skilled Nursing Facility (SNF),0.0,0
care_settingandMedical/Surgical,0.0,0
age_grpand>=80,0.0,0
admission_typeandElective,0.0,0
age_grpand50~60,0.0,0
age_grpand60~70,0.0,0
admission_sourceandOthers/unknown,0.0,0
age_grpand30~40,0.0,0
care_settingandIntensive Care Unit,0.0,0
admission_sourceandClinic Referral,0.0,0
care_settingandOthers/unknown,0.0,0
care_settingandSurgery,0.0,0
age_grpand20~30,0.0,0
raceandOthers/unknown,0.0,0
admission_sourceandTransfer from a hospital,0.0013909019553085987,0
care_settingandAmbulatory Unit,0.0,0
age_grpand<20,0.0,0
admission_typeandOthers/unknown,0.0,0
admission_typeandTrauma Center,0.011091294339523473,0
raceandAsian,0.0,0
care_settingandCardiology,0.0,0
care_settingandOrthopedics,0.0,0
care_settingandCoronary Care Unit,0.0,0
care_settingandStep-Down Unit,0.0,0
admission_sourceandTransfer from another health care facility,0.0,0
care_settingandStep-Down Unit - Cardiac,0.0,0
care_settingandObstetrics,0.0,0
care_settingandPhysical Rehabilitation,0.0,0
care_settingandGeneral Medicine,0.0,0
care_settingandOncology,0.0,0
admission_sourceandInformation Not Available,0.0,0
HR,0.02892641102982496,1
A/G Ratio,0.0,1
ALT/SGPT,0.0016203691967987461,1
AST/SGOT,0.0,1
Albumin Quant,0.0,1
"Albumin, Serum",0.0,1
"Alk Phos, Serum",0.0,1
"Amylase, Serum",0.0,1
Anion Gap,0.0,1
BMI,0.0,1
BNP-B Type Natriuretic Peptide,0.0,1
BUN/Creat Ratio,0.0,1
Base Excess,0.0,1
Base Excess Calc,0.0,1
"Base Excess Calc, Arterial",0.0,1
Baso %,0.0,1
Baso Abs,0.0016658623316759865,1
Baso Abs Cnt Bld,0.0,1
"Bilirubin Direct, Serum",0.0,1
Bilirubin Serum Quant,0.0,1
Bilirubin Total Bld mCnc,0.0,1
Blood Urea Nitrogen,0.005251944375125514,1
Body Surface Area,0.0010057329133209775,1
Braden Scale,0.04417306896297661,1
"CK/CPK, Total, Serum",0.0,1
CKMB,0.0,1
CO2,0.0,1
"CO2 Total, Arterial",0.0,1
"CO2 Total, Serum",0.0,1
Calcium Ionized,0.0,1
Calcium Quant,0.0,1
"Calcium, Serum",0.020463056721805654,1
Chol HDL,0.0,1
"Chol Total, Serum",0.0,1
"Cl, Serum",0.0,1
"Creatinine, Serum Quant",0.0,1
DBP,0.0,1
Diff Bands,0.0,1
"Diff Bands, Abs",0.0,1
Diff Blast,0.0,1
Diff Nucleated RBC,0.0,1
"Diff, Eosinophil %",0.0,1
"Diff, Eosinophil Abs Quant Bld",0.0,1
"Diff, Eosinophil Count %",0.0,1
"Diff, Eosinophil Count, Abs",0.0,1
"Diff, Granulocyte %",0.0,1
ETCO2,0.0,1
FLACC Pain Scale,0.0,1
FiO2,0.0,1
GFR/BSA Pred Black SerPl MDRD ArVRat,0.0,1
GFR/BSA Pred non black SerPl MDRD ArVRat,0.0,1
Glasgow Coma Score,0.016632330142179165,1
"Globulin, Serum",0.0027833360855205502,1
Glomerular Filtration Rate,0.0,1
"Glomerular Filtration Rate, Est",0.0,1
Glucose Stick/Meter WBlood POC,0.0,1
Glucose WBlood Quant,0.0,1
"Glucose, Serum Quant",0.13498339845335827,1
HCO3,0.0,1
"HCO3, Arterial",0.0,1
HR.1,0.0,1
HR Apical,0.0,1
HR Monitored,0.0,1
Hct,0.0026481820349338893,1
Height,0.0,1
Hgb,0.0,1
Hgb A1C,0.0,1
INR Platelet Poor Plasma,0.0,1
"Imm Granulocytes Cnt Bld Auto, %",0.0,1
"Imm Granulocytes Cnt Bld Auto, Abs",0.0,1
International Normalized Ratio,0.004079954469908823,1
"Iron, Serum",0.0,1
Lactic Acid Blood,0.0,1
Lactic Dehydrogenase,0.00890613484371877,1
"Lipase, Serum",0.0,1
Lymph %,0.0,1
Lymph Abs Cnt,0.0,1
"Lymphocytes Cnt Bld Auto,%",0.0,1
"Lymphocytes Cnt Bld Auto,Abs",0.0,1
Lymphocytes NFr Bld Auto,0.0,1
MAP,0.008690140918664114,1
MCH Concentration,0.0,1
Magnesium,0.0,1
"Magnesium, Serum/Plasma",0.0,1
Mean Corpuscular Hemoglobin,0.0,1
Mean Corpuscular Volume,0.0,1
Mean Platelet Volume,0.02347175356318141,1
Mono %,0.0,1
Mono Abs Cnt Bld,0.0,1
Neutrophil %,0.0,1
Neutrophil Abs Bld Cnt,0.0,1
Neutrophil Seg,0.0,1
"Nucleated RBC Ratio, Blood Auto",0.0,1
PCO2,0.0,1
"PCO2, Arterial",0.0,1
PO2,0.0,1
"PO2, Arterial",0.0,1
PT,0.0,1
PT Time PPP,0.0,1
PTT,0.0,1
PTT/APTT PPP,0.0,1
PaO2,0.0,1
Pain Score,0.00806154634985494,1
Peak inspiratory pressure,0.0,1
Peep,0.0,1
"Phosphorus, Serum",0.0,1
Platelet Count,0.01937962543087169,1
"Potassium, Serum",0.003740460341846558,1
"Protein Total, Serum",0.0,1
Pulse,0.0052317604942786755,1
Pulse Oximetry,0.0,1
Pulse Peripheral,0.0,1
QRS Duration,0.0,1
QT Interval,0.0,1
RBC,0.0,1
Red Blood Cell Distribution Width,0.0,1
Resp Rt,0.05111705246787694,1
Resp Rt Tot,0.0,1
SBP,0.009442587637292842,1
SO2,0.0,1
SPO2,0.0007547854878402386,1
SaO2,0.0,1
"SaO2 %, Arterial",0.0,1
"Sodium, Serum",0.005676997253450297,1
Specific Gravity Urine,0.0,1
TCO2,0.0,1
Temp,0.0,1
Temp Axillary,0.0,1
Temp Oral,0.0020982828965398657,1
Temp Temporal Artery,0.0,1
Temp Tympanic,0.0,1
Thyroid Stimulating Hormone,0.0,1
Tidal Volume,0.0,1
"Triglyceride, Serum",0.0,1
Troponin I,0.0,1
Troponin T S/Pl,0.0,1
UA Red Blood Cell,0.0,1
UA Urobilinogen,0.0,1
UA WBC,0.0,1
"Vitamin B12, Serum",0.0,1
WBC,0.007514037903152085,1
Weight,0.0,1
"pH, Arterial",0.0,1
"pH, Urine",0.0,1
genderandMale,0.0016967042321597951,1
raceandAfrican American,0.0,1
admission_typeandEmergency,0.009586067595929339,1
admission_sourceandEmergency Room,0.0,1
